,path,gps,date,x,y,z,prediction
68,/home/pi/captures/2022-08-17T08:34:10.105442.jpg,"['5042.29743', 'N'] ['00752.85595', 'E']",2022-08-17T08:34:10.105442,4.970362646484375,-0.1807622253417968,7.359775903320312,0.22507262229919434
69,/home/pi/captures/2022-08-17T08:34:16.031290.jpg,"['5042.29060', 'N'] ['00752.86494', 'E']",2022-08-17T08:34:16.031290,5.099649536132812,-0.6847416748046875,6.9910688476562495,0.4505973756313324
75,/home/pi/captures/2022-08-17T08:34:51.516068.jpg,"['5042.27327', 'N'] ['00752.83946', 'E']",2022-08-17T08:34:51.516068,5.178658190917968,-0.6296750366210937,7.368155609130859,0.13089296221733093
76,/home/pi/captures/2022-08-17T08:34:57.455331.jpg,"['5042.27387', 'N'] ['00752.83560', 'E']",2022-08-17T08:34:57.455331,5.547365246582031,-0.1604115112304687,8.137891442871092,0.0018838035175576806
86,/home/pi/captures/2022-08-17T08:35:56.597825.jpg,"['5042.29116', 'N'] ['00752.85533', 'E']",2022-08-17T08:35:56.597825,5.117606048583983,-0.4932055419921874,8.349778289794923,0.020824208855628967
87,/home/pi/captures/2022-08-17T08:36:02.521546.jpg,"['5042.29173', 'N'] ['00752.87340', 'E']",2022-08-17T08:36:02.521546,4.6447512207031245,-0.3830722656249999,7.785943798828125,0.6423537135124207
88,/home/pi/captures/2022-08-17T08:36:08.426567.jpg,"['5042.29148', 'N'] ['00752.88863', 'E']",2022-08-17T08:36:08.426567,5.413289953613281,-0.507570751953125,7.68059892578125,0.7643749117851257
89,/home/pi/captures/2022-08-17T08:36:14.351261.jpg,"['5042.29127', 'N'] ['00752.90235', 'E']",2022-08-17T08:36:14.351261,5.038597393798828,-0.3591302490234375,8.635885388183594,0.005062025040388107
90,/home/pi/captures/2022-08-17T08:36:20.281558.jpg,"['5042.29187', 'N'] ['00752.91115', 'E']",2022-08-17T08:36:20.281558,5.102043737792968,-0.4716577270507812,8.350975390624999,0.0002534674422349781
91,/home/pi/captures/2022-08-17T08:36:26.194077.jpg,"['5042.29273', 'N'] ['00752.91968', 'E']",2022-08-17T08:36:26.194077,5.409698651123046,-0.565031591796875,9.58279214477539,0.22614718973636627
92,/home/pi/captures/2022-08-17T08:36:32.113509.jpg,"['5042.29304', 'N'] ['00752.92636', 'E']",2022-08-17T08:36:32.113509,5.523423229980469,-0.7350199096679687,8.88129105834961,0.06432431191205978
93,/home/pi/captures/2022-08-17T08:36:38.024560.jpg,"['5042.29432', 'N'] ['00752.93347', 'E']",2022-08-17T08:36:38.024560,5.434837768554687,-0.5770026000976562,8.221688500976562,0.039576455950737
94,/home/pi/captures/2022-08-17T08:36:43.959164.jpg,"['5042.29321', 'N'] ['00752.93866', 'E']",2022-08-17T08:36:43.959164,5.36301171875,-0.5614402893066406,8.239645013427733,0.026041235774755478
95,/home/pi/captures/2022-08-17T08:36:49.886324.jpg,"['5042.29049', 'N'] ['00752.94222', 'E']",2022-08-17T08:36:49.886324,5.102043737792968,-0.6631938598632812,8.271966735839843,0.023672232404351234
96,/home/pi/captures/2022-08-17T08:36:55.803860.jpg,"['5042.29215', 'N'] ['00752.94347', 'E']",2022-08-17T08:36:55.803860,4.96677134399414,-0.7110778930664062,8.35696089477539,0.0494174025952816
97,/home/pi/captures/2022-08-17T08:37:01.709818.jpg,"['5042.29392', 'N'] ['00752.94073', 'E']",2022-08-17T08:37:01.709818,5.066130712890625,-0.3926490722656249,8.959102612304687,0.04750654846429825
98,/home/pi/captures/2022-08-17T08:37:07.628359.jpg,"['5042.29524', 'N'] ['00752.93728', 'E']",2022-08-17T08:37:07.628359,5.019443780517578,-0.3782838623046874,9.463082061767578,0.0019959595520049334
99,/home/pi/captures/2022-08-17T08:37:13.558189.jpg,"['5042.29624', 'N'] ['00752.93440', 'E']",2022-08-17T08:37:13.558189,5.151124871826172,-0.5590460876464844,7.1012021240234375,0.628082275390625
100,/home/pi/captures/2022-08-17T08:37:19.473701.jpg,"['5042.29719', 'N'] ['00752.93169', 'E']",2022-08-17T08:37:19.473701,5.063736511230468,-0.1364694946289062,7.805097412109374,0.7618550062179565
101,/home/pi/captures/2022-08-17T08:37:25.393871.jpg,"['5042.29803', 'N'] ['00752.92843', 'E']",2022-08-17T08:37:25.393871,4.910507604980468,-0.5805939025878906,9.361328491210935,0.7686213254928589
102,/home/pi/captures/2022-08-17T08:37:31.321084.jpg,"['5042.29889', 'N'] ['00752.92500', 'E']",2022-08-17T08:37:31.321084,4.996698864746094,-0.6727706665039062,7.271190441894531,0.7001634836196899
103,/home/pi/captures/2022-08-17T08:37:37.237427.jpg,"['5042.29989', 'N'] ['00752.92064', 'E']",2022-08-17T08:37:37.237427,4.942829327392578,-0.5351040710449217,8.734047656249999,0.001028935657814145
104,/home/pi/captures/2022-08-17T08:37:43.153455.jpg,"['5042.30071', 'N'] ['00752.91797', 'E']",2022-08-17T08:37:43.153455,5.137956762695312,-0.3471592407226562,8.68257232055664,0.0007440641638822854
105,/home/pi/captures/2022-08-17T08:37:49.074900.jpg,"['5042.30201', 'N'] ['00752.91451', 'E']",2022-08-17T08:37:49.074900,5.2265422241210935,-0.6416460449218749,8.106766821289062,0.40695029497146606
106,/home/pi/captures/2022-08-17T08:37:54.982712.jpg,"['5042.30345', 'N'] ['00752.90945', 'E']",2022-08-17T08:37:54.982712,5.079298822021483,-0.067037646484375,7.808688714599609,0.32444459199905396
